,Labels,Item sets,First Fit Score,First Fit Decreasing Score,Next Fit Score,Next Fit Decreasing Score,Best Fit Score,Best Fit Decreasing Score,Djang-Fitch Score,Djang-Fitch 2 Score,Best heuristic
223,"[0.1, 0.25, 0.0, 0.65, 0.35, 0.3, 0.35, 1, 5]","[(65, 60), (70, 50), (10, 5), (67, 96), (57, 80), (88, 2), (78, 7), (33, 44), (21, 9), (41, 91), (83, 3), (43, 45), (53, 31), (21, 15), (5, 50), (85, 40), (34, 52), (58, 97), (21, 73), (58, 34)]",0.4267,0.5772,0.3928,0.541,0.4179,0.5778,0.5772,0.5775,5
224,"[0.15, 0.05, 0.05, 0.75, 0.45, 0.2, 0.35, 1, 1]","[(17, 41), (35, 46), (18, 59), (11, 51), (63, 88), (79, 11), (54, 24), (9, 25), (63, 10), (26, 92), (3, 6), (28, 61), (31, 39), (83, 39), (59, 19), (87, 51), (9, 82), (73, 26), (89, 92), (67, 84)]",0.526,0.5785,0.3929,0.5258,0.4208,0.5785,0.5785,0.5561,1
225,"[0.15, 0.2, 0.2, 0.45, 0.6, 0.15, 0.25, 1, 1]","[(60, 56), (66, 57), (23, 49), (10, 18), (43, 6), (73, 60), (6, 92), (35, 90), (73, 85), (92, 93), (87, 86), (35, 75), (26, 99), (9, 37), (30, 90), (40, 56), (58, 16), (91, 40), (40, 12), (24, 25)]",0.4868,0.6309,0.4869,0.4938,0.4946,0.6306,0.6309,0.5525,1
226,"[0.2, 0.15, 0.1, 0.55, 0.5, 0.1, 0.4, 1, 5]","[(44, 29), (74, 16), (34, 19), (83, 21), (65, 5), (11, 50), (41, 67), (76, 83), (85, 90), (14, 23), (75, 46), (36, 89), (89, 5), (56, 61), (24, 79), (73, 95), (58, 70), (69, 20), (96, 65), (4, 53)]",0.383,0.6049,0.3714,0.6059,0.389,0.6087,0.6049,0.5266,5
227,"[0.15, 0.1, 0.1, 0.65, 0.35, 0.2, 0.45, 1, 5]","[(62, 98), (85, 37), (35, 22), (13, 56), (1, 73), (41, 29), (49, 90), (37, 32), (97, 47), (69, 85), (90, 96), (38, 50), (45, 7), (71, 43), (19, 91), (79, 18), (45, 18), (90, 19), (24, 26), (34, 6)]",0.5256,0.5503,0.512,0.4972,0.5177,0.5504,0.5503,0.5339,5
228,"[0.15, 0.15, 0.15, 0.55, 0.45, 0.15, 0.4, 1, 5]","[(44, 62), (66, 14), (45, 40), (75, 8), (29, 3), (11, 70), (29, 44), (57, 2), (98, 92), (68, 63), (14, 12), (32, 22), (76, 5), (28, 20), (50, 57), (45, 88), (73, 40), (67, 96), (55, 97), (58, 66)]",0.3235,0.5514,0.3261,0.5281,0.3937,0.5515,0.5514,0.5335,5
229,"[0.1, 0.15, 0.1, 0.65, 0.4, 0.4, 0.2, 1, 1]","[(1, 80), (93, 43), (57, 29), (34, 40), (36, 45), (47, 88), (94, 30), (1, 91), (33, 44), (2, 39), (12, 35), (27, 54), (59, 1), (21, 82), (32, 78), (90, 35), (94, 62), (48, 22), (82, 42), (76, 69)]",0.3891,0.5681,0.3143,0.5515,0.3891,0.5681,0.5681,0.5266,1
230,"[0.15, 0.15, 0.15, 0.55, 0.3, 0.15, 0.55, 1, 1]","[(52, 8), (91, 74), (10, 40), (1, 33), (90, 93), (99, 40), (43, 1), (40, 66), (42, 69), (55, 11), (88, 18), (92, 74), (90, 20), (88, 24), (15, 33), (76, 47), (59, 58), (33, 29), (56, 12), (98, 33)]",0.5384,0.5957,0.4364,0.5514,0.554,0.5957,0.5957,0.4899,1
231,"[0.1, 0.15, 0.05, 0.7, 0.4, 0.2, 0.4, 1, 5]","[(63, 26), (43, 58), (13, 13), (97, 75), (92, 39), (86, 22), (21, 70), (87, 85), (75, 43), (86, 14), (88, 19), (21, 16), (25, 89), (42, 55), (23, 41), (36, 12), (16, 7), (3, 48), (90, 55), (39, 92)]",0.482,0.6365,0.3597,0.6315,0.4904,0.6368,0.6365,0.5262,5
232,"[0.05, 0.1, 0.3, 0.55, 0.65, 0.2, 0.15, 1, 5]","[(31, 86), (58, 45), (20, 77), (37, 77), (85, 31), (37, 65), (52, 68), (10, 75), (33, 38), (63, 63), (28, 86), (58, 27), (41, 66), (62, 27), (13, 35), (33, 55), (79, 67), (10, 65), (26, 98), (47, 42)]",0.3513,0.4747,0.4372,0.3383,0.4313,0.5845,0.4747,0.4814,5
233,"[0.2, 0.15, 0.0, 0.65, 0.55, 0.25, 0.2, 1, 1]","[(2, 36), (21, 35), (12, 79), (38, 88), (57, 20), (8, 43), (10, 85), (58, 82), (68, 89), (73, 81), (10, 88), (19, 65), (87, 86), (77, 56), (22, 26), (74, 15), (89, 79), (48, 44), (4, 49), (44, 15)]",0.3971,0.6898,0.3346,0.5563,0.4253,0.5835,0.6898,0.5648,1
234,"[0.1, 0.35, 0.0, 0.55, 0.4, 0.2, 0.4, 1, 5]","[(10, 77), (94, 46), (87, 51), (85, 3), (80, 99), (45, 53), (25, 60), (53, 76), (76, 65), (87, 45), (62, 30), (92, 18), (93, 45), (62, 31), (94, 4), (20, 27), (3, 22), (76, 95), (86, 50), (18, 28)]",0.5291,0.5643,0.4337,0.5267,0.535,0.5658,0.5643,0.5613,5
235,"[0.05, 0.3, 0.05, 0.6, 0.45, 0.2, 0.35, 1, 7]","[(10, 19), (67, 4), (18, 23), (36, 93), (42, 92), (71, 48), (37, 51), (67, 43), (7, 98), (62, 55), (99, 39), (35, 53), (20, 88), (39, 1), (83, 29), (25, 2), (55, 7), (77, 89), (9, 77), (70, 50)]",0.397,0.5202,0.3789,0.4917,0.3997,0.5203,0.5202,0.5297,7
236,"[0.15, 0.05, 0.25, 0.55, 0.4, 0.25, 0.35, 1, 1]","[(54, 50), (40, 19), (20, 56), (3, 50), (34, 60), (77, 35), (82, 27), (59, 63), (95, 31), (64, 43), (65, 90), (11, 7), (92, 22), (60, 42), (99, 62), (57, 20), (14, 84), (88, 77), (23, 73), (35, 32)]",0.4087,0.6912,0.4066,0.5112,0.4194,0.6912,0.6912,0.5705,1
237,"[0.15, 0.1, 0.05, 0.7, 0.45, 0.1, 0.45, 1, 7]","[(37, 96), (92, 71), (98, 48), (33, 82), (71, 21), (68, 90), (6, 21), (30, 79), (42, 5), (89, 95), (2, 9), (23, 57), (1, 9), (61, 34), (53, 30), (23, 78), (56, 1), (71, 8), (12, 91), (40, 24)]",0.4963,0.5032,0.4482,0.4653,0.4988,0.5036,0.5032,0.5135,7
238,"[0.3, 0.2, 0.1, 0.4, 0.55, 0.15, 0.3, 1, 5]","[(89, 99), (66, 63), (65, 1), (70, 93), (41, 41), (58, 1), (85, 29), (62, 60), (65, 42), (84, 91), (43, 26), (35, 73), (26, 82), (94, 56), (99, 95), (7, 1), (76, 59), (82, 42), (78, 70), (52, 29)]",0.5597,0.5738,0.4767,0.5705,0.564,0.5786,0.5738,0.5672,5
239,"[0.2, 0.05, 0.1, 0.65, 0.65, 0.05, 0.3, 1, 5]","[(2, 83), (25, 55), (23, 9), (67, 96), (49, 55), (25, 6), (45, 4), (35, 94), (25, 33), (13, 61), (10, 71), (72, 7), (66, 94), (75, 84), (33, 61), (78, 95), (60, 83), (12, 89), (33, 21), (48, 41)]",0.3925,0.6648,0.3924,0.4843,0.4944,0.6649,0.6648,0.5418,5
240,"[0.15, 0.15, 0.1, 0.6, 0.45, 0.25, 0.3, 1, 5]","[(9, 36), (66, 92), (88, 59), (42, 69), (72, 65), (2, 29), (50, 86), (47, 5), (52, 47), (99, 24), (7, 39), (55, 74), (85, 16), (24, 56), (39, 5), (94, 85), (11, 64), (62, 37), (73, 36), (92, 24)]",0.464,0.5528,0.4313,0.4423,0.463,0.5547,0.5528,0.4606,5
241,"[0.0, 0.2, 0.2, 0.6, 0.55, 0.1, 0.35, 1, 5]","[(52, 78), (14, 86), (8, 84), (59, 61), (6, 54), (74, 60), (45, 72), (47, 69), (43, 39), (36, 61), (90, 23), (3, 1), (31, 83), (26, 22), (48, 17), (48, 13), (79, 43), (24, 24), (45, 56), (75, 24)]",0.4694,0.5131,0.4503,0.5016,0.4741,0.5146,0.5131,0.3862,5
242,"[0.1, 0.0, 0.25, 0.65, 0.5, 0.2, 0.3, 1, 5]","[(82, 91), (34, 5), (37, 69), (4, 96), (42, 36), (28, 70), (58, 44), (3, 93), (56, 26), (65, 4), (39, 9), (32, 87), (13, 32), (13, 74), (67, 13), (68, 42), (33, 93), (86, 70), (17, 50), (2, 64)]",0.5522,0.5841,0.313,0.3929,0.5522,0.5914,0.5841,0.4633,5
243,"[0.25, 0.1, 0.1, 0.55, 0.65, 0.1, 0.25, 1, 5]","[(73, 70), (17, 76), (82, 69), (76, 47), (90, 7), (47, 5), (87, 93), (40, 69), (61, 29), (15, 65), (67, 69), (96, 67), (31, 84), (33, 71), (20, 47), (17, 96), (63, 33), (19, 33), (94, 92), (39, 56)]",0.5104,0.5291,0.4936,0.5063,0.5197,0.5292,0.5291,0.5135,5
244,"[0.1, 0.05, 0.15, 0.7, 0.4, 0.3, 0.3, 1, 5]","[(32, 66), (25, 44), (20, 17), (79, 83), (43, 51), (34, 40), (45, 38), (68, 28), (23, 25), (42, 57), (28, 3), (59, 42), (45, 62), (55, 48), (37, 98), (6, 82), (77, 65), (72, 15), (75, 10), (60, 43)]",0.4081,0.515,0.289,0.4898,0.3887,0.5162,0.515,0.5152,5
245,"[0.1, 0.05, 0.25, 0.6, 0.4, 0.05, 0.55, 1, 4]","[(89, 57), (48, 60), (41, 14), (85, 91), (33, 5), (12, 16), (19, 1), (27, 5), (12, 75), (39, 53), (43, 19), (92, 18), (78, 33), (98, 29), (51, 98), (49, 57), (3, 13), (24, 64), (70, 42), (47, 33)]",0.491,0.5563,0.539,0.5027,0.6954,0.5566,0.5563,0.5189,4
246,"[0.1, 0.1, 0.15, 0.65, 0.4, 0.25, 0.35, 1, 3]","[(11, 44), (96, 4), (78, 89), (84, 36), (13, 4), (24, 32), (19, 49), (72, 23), (99, 25), (28, 18), (35, 43), (7, 72), (58, 71), (57, 77), (30, 22), (56, 58), (33, 54), (34, 98), (16, 47), (97, 89)]",0.4672,0.4921,0.3645,0.6005,0.4763,0.4921,0.4921,0.5066,3
247,"[0.05, 0.25, 0.2, 0.5, 0.55, 0.15, 0.3, 1, 5]","[(33, 22), (23, 20), (57, 84), (38, 86), (31, 51), (92, 1), (23, 1), (49, 74), (73, 25), (98, 46), (82, 67), (20, 12), (82, 60), (41, 48), (16, 43), (46, 92), (42, 76), (45, 51), (37, 72), (36, 75)]",0.3936,0.5227,0.3936,0.5062,0.3914,0.5291,0.5227,0.4466,5
248,"[0.2, 0.15, 0.0, 0.65, 0.4, 0.0, 0.6, 1, 5]","[(82, 96), (35, 31), (73, 52), (1, 7), (86, 97), (58, 90), (4, 23), (77, 3), (45, 27), (85, 2), (65, 24), (48, 17), (45, 5), (75, 52), (36, 5), (35, 99), (32, 33), (2, 91), (94, 6), (88, 76)]",0.4758,0.6182,0.3642,0.6134,0.4838,0.6183,0.6182,0.5056,5
249,"[0.2, 0.2, 0.05, 0.55, 0.65, 0.05, 0.3, 1, 5]","[(17, 85), (63, 22), (72, 77), (23, 4), (82, 52), (38, 18), (38, 2), (65, 99), (22, 93), (44, 91), (34, 34), (56, 77), (2, 7), (56, 94), (45, 98), (84, 71), (50, 4), (8, 98), (15, 78), (37, 86)]",0.5857,0.5907,0.45,0.5825,0.5864,0.6001,0.5907,0.5007,5
250,"[0.15, 0.1, 0.1, 0.65, 0.65, 0.0, 0.35, 1, 0]","[(25, 74), (40, 61), (23, 61), (72, 15), (44, 77), (82, 73), (82, 53), (21, 84), (9, 71), (29, 21), (15, 8), (86, 63), (36, 74), (26, 65), (77, 18), (63, 93), (5, 16), (55, 3), (48, 53), (96, 14)]",0.4566,0.4505,0.3195,0.4308,0.4556,0.4511,0.4505,0.4388,0
251,"[0.2, 0.1, 0.0, 0.7, 0.3, 0.2, 0.5, 1, 5]","[(60, 15), (91, 5), (47, 34), (11, 10), (37, 2), (20, 55), (74, 55), (99, 39), (2, 37), (1, 25), (40, 22), (59, 97), (27, 20), (91, 88), (53, 45), (18, 6), (88, 1), (97, 74), (88, 58), (13, 15)]",0.4011,0.7246,0.3998,0.52,0.4041,0.725,0.7246,0.5716,5
252,"[0.3, 0.1, 0.1, 0.5, 0.55, 0.15, 0.3, 1, 5]","[(51, 66), (57, 93), (80, 4), (80, 94), (43, 45), (95, 68), (84, 75), (91, 5), (52, 99), (6, 29), (6, 42), (56, 72), (11, 25), (17, 16), (6, 22), (76, 76), (22, 81), (55, 52), (10, 56), (73, 45)]",0.4022,0.4189,0.3365,0.4225,0.407,0.424,0.4189,0.411,5
253,"[0.25, 0.1, 0.1, 0.55, 0.55, 0.05, 0.4, 1, 1]","[(19, 89), (59, 61), (42, 19), (63, 28), (71, 77), (31, 66), (48, 18), (73, 70), (71, 9), (54, 49), (91, 86), (86, 79), (48, 66), (27, 88), (52, 77), (84, 26), (72, 70), (26, 25), (76, 2), (46, 12)]",0.4345,0.5521,0.3482,0.5228,0.4447,0.5472,0.5521,0.545,1
254,"[0.25, 0.2, 0.1, 0.45, 0.55, 0.25, 0.2, 1, 4]","[(75, 84), (23, 32), (29, 44), (11, 56), (68, 52), (6, 8), (72, 82), (72, 89), (43, 65), (85, 48), (96, 68), (98, 41), (23, 45), (10, 18), (11, 52), (7, 58), (76, 75), (62, 42), (38, 90), (86, 6)]",0.5125,0.5104,0.4029,0.5109,0.5154,0.5138,0.5104,0.4334,4
255,"[0.1, 0.15, 0.2, 0.55, 0.4, 0.3, 0.3, 1, 5]","[(92, 13), (58, 33), (78, 45), (66, 48), (60, 33), (22, 16), (64, 76), (86, 58), (60, 34), (81, 32), (14, 66), (81, 22), (67, 99), (81, 62), (1, 40), (48, 69), (94, 34), (9, 58), (58, 39), (18, 59)]",0.4307,0.4464,0.3496,0.4393,0.4376,0.4472,0.4464,0.4451,5
256,"[0.2, 0.2, 0.1, 0.5, 0.65, 0.05, 0.3, 1, 5]","[(51, 57), (23, 62), (95, 63), (89, 79), (22, 25), (71, 57), (58, 99), (13, 33), (44, 95), (35, 3), (40, 64), (24, 57), (70, 15), (93, 47), (43, 3), (76, 98), (46, 99), (87, 8), (31, 73), (13, 67)]",0.4512,0.5483,0.4282,0.4478,0.4595,0.5505,0.5483,0.4838,5
257,"[0.2, 0.2, 0.25, 0.35, 0.6, 0.15, 0.25, 1, 5]","[(74, 41), (12, 11), (95, 2), (4, 91), (44, 58), (99, 43), (93, 54), (88, 89), (50, 98), (75, 31), (59, 83), (35, 95), (5, 81), (84, 44), (49, 12), (37, 87), (94, 55), (89, 94), (42, 64), (97, 13)]",0.538,0.6676,0.5386,0.666,0.5386,0.6682,0.6676,0.5728,5
258,"[0.15, 0.15, 0.15, 0.55, 0.6, 0.15, 0.25, 1, 1]","[(23, 98), (95, 31), (86, 75), (46, 50), (2, 12), (99, 22), (16, 99), (5, 55), (73, 32), (1, 38), (91, 93), (73, 60), (41, 96), (26, 15), (44, 60), (38, 88), (56, 53), (16, 87), (41, 35), (89, 62)]",0.4807,0.6449,0.4856,0.4849,0.5064,0.5396,0.6449,0.5518,1
259,"[0.25, 0.2, 0.0, 0.55, 0.55, 0.1, 0.35, 1, 5]","[(60, 57), (1, 52), (84, 72), (66, 74), (19, 5), (21, 46), (81, 22), (37, 25), (54, 35), (66, 84), (12, 15), (98, 87), (23, 78), (63, 54), (69, 91), (57, 64), (78, 66), (66, 4), (63, 31), (74, 18)]",0.4302,0.4541,0.4355,0.4392,0.4414,0.4594,0.4541,0.4522,5
260,"[0.1, 0.2, 0.1, 0.6, 0.5, 0.25, 0.25, 1, 5]","[(70, 47), (25, 79), (53, 74), (40, 53), (69, 65), (9, 53), (6, 28), (12, 41), (5, 82), (68, 43), (57, 83), (99, 92), (8, 70), (93, 49), (50, 50), (3, 14), (94, 84), (24, 9), (23, 5), (61, 20)]",0.4461,0.5563,0.4401,0.5646,0.4483,0.5664,0.5563,0.5507,5
261,"[0.15, 0.1, 0.2, 0.55, 0.6, 0.15, 0.25, 1, 5]","[(80, 15), (25, 4), (89, 91), (48, 48), (75, 39), (30, 3), (87, 8), (18, 91), (15, 47), (36, 52), (76, 54), (88, 79), (34, 64), (8, 80), (71, 55), (35, 87), (38, 81), (42, 2), (98, 56), (56, 57)]",0.2934,0.4765,0.2975,0.4537,0.2996,0.4825,0.4765,0.4748,5
262,"[0.25, 0.2, 0.05, 0.5, 0.6, 0.15, 0.25, 1, 5]","[(91, 62), (1, 15), (35, 80), (88, 49), (44, 93), (41, 49), (6, 65), (79, 66), (87, 17), (84, 53), (34, 43), (62, 82), (88, 90), (32, 2), (63, 92), (47, 5), (80, 59), (82, 5), (20, 59), (18, 74)]",0.4452,0.448,0.433,0.4457,0.4427,0.4531,0.448,0.3991,5
263,"[0.1, 0.1, 0.15, 0.65, 0.5, 0.3, 0.2, 1, 1]","[(32, 88), (59, 86), (25, 68), (12, 27), (17, 70), (8, 57), (28, 57), (32, 13), (64, 50), (33, 37), (14, 34), (89, 19), (29, 16), (41, 41), (32, 36), (65, 64), (5, 42), (54, 53), (41, 90), (70, 84)]",0.3554,0.4801,0.3474,0.47,0.3554,0.4801,0.4801,0.4732,1
264,"[0.1, 0.2, 0.15, 0.55, 0.55, 0.2, 0.25, 1, 5]","[(52, 4), (74, 59), (89, 54), (36, 84), (77, 71), (98, 12), (18, 27), (85, 47), (40, 4), (34, 89), (72, 80), (29, 90), (63, 35), (5, 38), (9, 48), (97, 14), (43, 84), (9, 99), (5, 59), (32, 55)]",0.4514,0.4437,0.4503,0.4491,0.4512,0.4539,0.4437,0.381,5
265,"[0.05, 0.15, 0.1, 0.7, 0.3, 0.4, 0.3, 1, 1]","[(44, 38), (88, 81), (28, 94), (83, 47), (80, 39), (9, 38), (4, 40), (25, 59), (52, 45), (56, 63), (18, 13), (81, 48), (75, 23), (88, 28), (27, 50), (32, 78), (31, 1), (73, 18), (21, 99), (68, 32)]",0.4272,0.5499,0.4009,0.4141,0.4316,0.5499,0.5499,0.4718,1
266,"[0.15, 0.1, 0.1, 0.65, 0.5, 0.35, 0.15, 1, 1]","[(56, 40), (33, 58), (33, 51), (40, 98), (9, 37), (83, 64), (27, 52), (98, 68), (23, 34), (53, 45), (91, 91), (1, 96), (57, 80), (9, 46), (77, 7), (32, 17), (12, 93), (69, 44), (86, 34), (53, 21)]",0.4101,0.5694,0.5044,0.5097,0.5094,0.5685,0.5694,0.5492,1
267,"[0.1, 0.15, 0.2, 0.55, 0.5, 0.1, 0.4, 1, 5]","[(57, 22), (29, 9), (71, 64), (91, 73), (46, 56), (3, 67), (92, 22), (43, 70), (39, 10), (82, 58), (55, 72), (93, 33), (29, 88), (58, 11), (11, 36), (2, 39), (64, 12), (76, 77), (16, 33), (12, 53)]",0.5489,0.5835,0.4533,0.553,0.5696,0.5849,0.5835,0.4753,5
268,"[0.05, 0.3, 0.1, 0.55, 0.45, 0.1, 0.45, 1, 3]","[(98, 43), (45, 83), (6, 29), (52, 64), (56, 14), (24, 64), (59, 11), (41, 6), (87, 54), (91, 9), (36, 7), (96, 52), (36, 68), (48, 76), (18, 29), (71, 47), (67, 30), (90, 87), (6, 23), (31, 82)]",0.4991,0.5232,0.4858,0.6463,0.5021,0.5234,0.5232,0.5046,3
269,"[0.25, 0.1, 0.1, 0.55, 0.45, 0.15, 0.4, 1, 5]","[(92, 74), (24, 23), (88, 91), (86, 34), (88, 17), (82, 30), (12, 45), (15, 22), (51, 12), (52, 76), (97, 88), (4, 55), (77, 46), (29, 2), (19, 55), (94, 22), (99, 75), (74, 98), (94, 31), (11, 79)]",0.5986,0.6268,0.5066,0.6229,0.5996,0.6303,0.6268,0.6248,5
270,"[0.25, 0.05, 0.05, 0.65, 0.4, 0.15, 0.45, 1, 5]","[(39, 11), (27, 17), (18, 67), (37, 24), (77, 84), (42, 46), (85, 8), (9, 10), (54, 80), (66, 13), (75, 94), (14, 29), (83, 90), (90, 27), (79, 88), (14, 62), (58, 46), (77, 84), (17, 48), (17, 31)]",0.4499,0.5912,0.4504,0.5863,0.4712,0.5941,0.5912,0.5841,5
271,"[0.1, 0.1, 0.15, 0.65, 0.55, 0.05, 0.4, 1, 5]","[(12, 12), (98, 1), (31, 50), (71, 89), (8, 23), (60, 22), (54, 57), (48, 66), (28, 18), (20, 99), (73, 21), (51, 64), (49, 84), (80, 27), (37, 67), (75, 51), (1, 51), (18, 25), (67, 78), (22, 61)]",0.3847,0.5345,0.2948,0.5447,0.3886,0.5481,0.5345,0.4448,5
272,"[0.25, 0.25, 0.05, 0.45, 0.7, 0.2, 0.1, 1, 5]","[(66, 71), (30, 50), (87, 43), (43, 54), (14, 85), (29, 93), (35, 64), (67, 93), (24, 86), (87, 48), (36, 49), (28, 11), (88, 70), (53, 98), (64, 86), (55, 69), (92, 95), (14, 92), (66, 65), (77, 14)]",0.422,0.5083,0.4115,0.4974,0.4226,0.5966,0.5083,0.5175,5
273,"[0.4, 0.05, 0.1, 0.45, 0.65, 0.15, 0.2, 1, 5]","[(12, 5), (81, 72), (39, 76), (5, 98), (87, 85), (38, 48), (20, 94), (11, 13), (60, 99), (66, 41), (14, 11), (83, 81), (96, 84), (23, 97), (50, 90), (40, 43), (52, 16), (94, 59), (87, 83), (90, 85)]",0.4642,0.572,0.5491,0.5516,0.5529,0.573,0.572,0.5713,5
274,"[0.25, 0.05, 0.05, 0.65, 0.45, 0.1, 0.45, 1, 5]","[(24, 41), (86, 84), (24, 2), (46, 14), (87, 52), (71, 72), (86, 69), (77, 28), (97, 56), (8, 2), (57, 17), (23, 12), (52, 27), (65, 98), (9, 80), (68, 48), (5, 63), (81, 27), (88, 5), (13, 52)]",0.4904,0.5491,0.4955,0.5036,0.5164,0.5545,0.5491,0.5328,5
275,"[0.15, 0.05, 0.05, 0.75, 0.35, 0.15, 0.5, 1, 5]","[(84, 85), (44, 12), (33, 21), (22, 38), (4, 71), (92, 34), (91, 92), (97, 94), (88, 20), (80, 24), (26, 80), (81, 15), (41, 45), (10, 92), (39, 32), (73, 27), (21, 2), (63, 5), (22, 8), (51, 80)]",0.5043,0.6581,0.4028,0.5125,0.5131,0.6588,0.6581,0.5569,5
276,"[0.2, 0.0, 0.2, 0.6, 0.45, 0.05, 0.5, 1, 3]","[(6, 74), (74, 25), (41, 71), (45, 4), (94, 86), (89, 24), (82, 40), (58, 93), (15, 27), (10, 21), (36, 15), (88, 32), (69, 85), (42, 20), (51, 64), (70, 95), (36, 31), (40, 29), (28, 72), (6, 98)]",0.5332,0.5687,0.5365,0.6962,0.5446,0.5719,0.5687,0.5565,3
277,"[0.1, 0.0, 0.2, 0.7, 0.4, 0.3, 0.3, 1, 7]","[(91, 88), (60, 55), (4, 50), (14, 12), (24, 6), (11, 97), (2, 9), (81, 41), (8, 56), (86, 18), (76, 16), (43, 49), (43, 70), (52, 33), (49, 44), (21, 68), (59, 51), (14, 48), (47, 49), (73, 77)]",0.375,0.5177,0.3608,0.4945,0.375,0.5178,0.5177,0.5187,7
278,"[0.25, 0.2, 0.15, 0.4, 0.65, 0.1, 0.25, 1, 7]","[(93, 96), (82, 55), (82, 4), (13, 71), (43, 80), (90, 72), (65, 41), (56, 48), (53, 98), (95, 73), (93, 52), (96, 10), (74, 59), (59, 52), (95, 12), (80, 66), (28, 54), (97, 7), (70, 28), (27, 80)]",0.4855,0.5172,0.4197,0.4917,0.4918,0.5195,0.5172,0.5228,7
279,"[0.1, 0.1, 0.1, 0.7, 0.45, 0.1, 0.45, 1, 5]","[(85, 49), (77, 77), (15, 58), (57, 73), (11, 94), (89, 14), (43, 64), (19, 75), (51, 62), (18, 29), (32, 2), (19, 83), (92, 82), (58, 6), (79, 2), (67, 1), (78, 11), (43, 43), (62, 31), (85, 24)]",0.4882,0.5398,0.3739,0.5018,0.5001,0.5419,0.5398,0.5233,5
280,"[0.15, 0.2, 0.15, 0.5, 0.6, 0.2, 0.2, 1, 5]","[(39, 66), (77, 35), (33, 53), (27, 9), (73, 65), (25, 88), (16, 21), (2, 74), (3, 36), (48, 91), (40, 98), (83, 77), (90, 43), (65, 83), (71, 73), (32, 99), (10, 48), (27, 2), (8, 64), (97, 2)]",0.5068,0.5162,0.3821,0.493,0.3921,0.5214,0.5162,0.5121,5
281,"[0.3, 0.0, 0.15, 0.55, 0.5, 0.25, 0.25, 1, 5]","[(88, 86), (48, 55), (23, 60), (27, 37), (3, 27), (59, 85), (96, 34), (60, 6), (9, 44), (85, 68), (6, 40), (4, 82), (87, 99), (45, 19), (68, 76), (68, 21), (85, 36), (16, 51), (36, 31), (91, 90)]",0.543,0.5485,0.5248,0.5304,0.533,0.5516,0.5485,0.5386,5
282,"[0.1, 0.1, 0.15, 0.65, 0.35, 0.2, 0.45, 1, 5]","[(62, 81), (18, 77), (49, 5), (10, 22), (72, 18), (77, 40), (35, 35), (79, 88), (50, 23), (50, 14), (13, 2), (75, 39), (12, 28), (8, 28), (13, 79), (71, 53), (37, 85), (19, 49), (61, 69), (56, 16)]",0.6018,0.6114,0.4362,0.6082,0.6062,0.613,0.6114,0.4735,5
283,"[0.15, 0.1, 0.0, 0.75, 0.5, 0.3, 0.2, 1, 5]","[(64, 95), (1, 17), (89, 40), (74, 75), (40, 46), (14, 71), (47, 46), (88, 48), (16, 84), (31, 62), (54, 25), (26, 47), (61, 32), (25, 66), (13, 87), (14, 76), (58, 37), (65, 80), (52, 20), (2, 51)]",0.4472,0.5639,0.4403,0.4282,0.4472,0.5762,0.5639,0.4935,5
284,"[0.2, 0.05, 0.1, 0.65, 0.55, 0.15, 0.3, 1, 7]","[(43, 48), (77, 40), (92, 93), (81, 29), (87, 9), (30, 75), (25, 72), (59, 27), (9, 91), (94, 81), (60, 87), (60, 54), (81, 63), (37, 66), (46, 36), (62, 2), (21, 31), (56, 84), (66, 32), (31, 52)]",0.4271,0.5388,0.4343,0.5297,0.4482,0.5367,0.5388,0.5661,7
285,"[0.15, 0.05, 0.05, 0.75, 0.55, 0.05, 0.4, 1, 1]","[(21, 41), (45, 1), (58, 65), (5, 55), (74, 93), (20, 29), (42, 51), (12, 58), (45, 73), (12, 79), (24, 25), (12, 25), (86, 5), (60, 24), (58, 90), (56, 98), (46, 32), (88, 22), (20, 88), (18, 96)]",0.4769,0.6566,0.4622,0.4753,0.4799,0.6566,0.6566,0.4948,1
286,"[0.2, 0.05, 0.1, 0.65, 0.4, 0.15, 0.45, 1, 3]","[(97, 62), (76, 9), (77, 76), (80, 92), (30, 81), (86, 17), (24, 58), (31, 20), (75, 43), (9, 76), (54, 9), (63, 94), (87, 4), (29, 22), (26, 7), (3, 39), (80, 14), (61, 43), (17, 15), (58, 70)]",0.4446,0.5868,0.3535,0.6023,0.4498,0.5964,0.5868,0.4943,3
287,"[0.25, 0.1, 0.05, 0.6, 0.45, 0.2, 0.35, 1, 5]","[(1, 22), (5, 83), (79, 97), (85, 67), (50, 26), (61, 23), (24, 40), (92, 79), (94, 11), (7, 19), (20, 27), (59, 94), (63, 62), (1, 84), (62, 49), (71, 71), (19, 50), (1, 42), (83, 1), (63, 71)]",0.4064,0.4298,0.4084,0.4139,0.4113,0.4318,0.4298,0.425,5
288,"[0.1, 0.35, 0.05, 0.5, 0.55, 0.1, 0.35, 1, 5]","[(38, 89), (65, 70), (23, 92), (40, 6), (94, 53), (7, 29), (31, 87), (1, 71), (37, 91), (50, 19), (74, 92), (24, 22), (73, 8), (51, 17), (66, 11), (98, 44), (4, 37), (44, 99), (96, 64), (56, 73)]",0.4298,0.7345,0.4268,0.7302,0.4287,0.7373,0.7345,0.6151,5
